Fuel_Type,Fuel_Price_per_Litre,Distance_km,Fuel_Consumption_L_per_100km
Petrol,105.35,156.4,8.58
Diesel,97.32,167.4,6.76
Petrol,106.14,305.2,8.76
Diesel,100.66,193.8,7.08
Petrol,103.08,228.1,8.44
Diesel,93.64,307.0,6.46
Petrol,107.40,330.9,8.94
Diesel,92.13,136.0,6.34
Petrol,107.43,316.0,8.87
Diesel,99.96,159.1,7.11
Petrol,105.70,306.6,8.72
Diesel,90.58,223.3,6.22
Petrol,107.49,101.6,8.84
Diesel,101.27,399.3,7.29
Petrol,98.09,110.5,7.81
Diesel,100.94,350.6,7.18
Petrol,99.50,409.0,8.18
Diesel,99.07,157.5,6.88
Petrol,104.46,306.4,8.57
Diesel,95.89,382.6,6.82
Petrol,99.06,105.3,7.96
Diesel,93.74,127.5,6.48
Petrol,96.99,285.6,7.80
Diesel,101.17,275.7,7.22
Petrol,102.99,103.6,8.44
Diesel,90.18,101.2,6.02
Petrol,105.16,113.8,8.68
Diesel,103.01,284.5,7.38
Petrol,104.63,117.8,8.53
Diesel,91.99,274.8,6.42
Petrol,103.45,260.3,8.49
Diesel,102.70,334.7,7.44
Petrol,96.27,452.7,8.00
Diesel,94.66,384.3,6.62
Petrol,97.44,280.9,7.90
Diesel,100.87,159.4,7.06
Petrol,99.02,336.7,8.13
Diesel,103.82,406.5,7.58
Petrol,106.01,215.8,8.76
Diesel,103.86,360.3,7.44
Petrol,100.84,471.6,8.30
Diesel,93.08,206.2,6.35
Petrol,99.03,336.9,8.11
Diesel,91.31,497.4,6.37
Petrol,97.49,228.5,7.87
Diesel,100.52,430.3,7.17
Petrol,96.59,436.2,8.01
Diesel,93.33,470.5,6.67
Petrol,99.91,318.1,8.23
Diesel,98.75,176.9,6.90
Petrol,98.56,111.8,7.89
Diesel,103.07,495.0,7.58
Petrol,97.89,453.4,8.02
Diesel,94.13,324.0,6.61
Petrol,105.97,148.8,8.72
Diesel,95.48,452.4,6.79
Petrol,100.87,485.5,8.39
Diesel,97.60,479.1,7.07
Petrol,97.80,142.9,7.80
Diesel,92.55,476.1,6.58
Petrol,101.66,336.3,8.37
Diesel,91.75,464.3,6.54
Petrol,108.47,169.1,8.94
Diesel,97.59,346.4,7.01
Petrol,107.51,398.9,8.97
Diesel,94.76,310.2,6.70
Petrol,99.46,455.2,8.27
Diesel,92.65,210.9,6.34
Petrol,107.67,356.0,8.93
Diesel,95.89,422.1,6.89
Petrol,106.90,481.3,9.08
Diesel,96.53,456.3,6.98
Petrol,98.19,335.0,7.99
Diesel,98.88,300.4,7.06
Petrol,97.55,422.4,8.00
Diesel,97.30,388.3,6.88
Petrol,103.42,415.5,8.63
Diesel,92.78,473.9,6.48
Petrol,96.78,185.8,7.78
Diesel,92.40,216.5,6.33
Petrol,108.35,288.0,9.00
Diesel,96.35,405.4,6.88
Petrol,109.99,242.3,9.23
Diesel,94.36,173.4,6.61
Petrol,104.30,345.1,8.64
Diesel,103.39,131.4,7.34
Petrol,108.33,225.0,9.06
Diesel,102.34,456.3,7.35
Petrol,100.18,332.1,8.15
Diesel,102.47,264.4,7.37
Petrol,105.18,493.9,8.80
Diesel,103.17,400.9,7.40
Petrol,100.77,362.9,8.23
Diesel,99.59,308.8,7.07
Petrol,100.81,187.4,8.23
Diesel,99.01,342.2,7.03
Petrol,105.31,139.8,8.57
Diesel,101.80,216.3,7.33
Petrol,100.92,100.3,8.19
Diesel,94.91,162.2,6.52
Petrol,105.02,143.4,8.69
Diesel,92.52,362.3,6.42
Petrol,104.99,361.0,8.80
Diesel,94.99,346.1,6.68
Petrol,102.00,178.1,8.38
Diesel,97.76,315.0,6.96
Petrol,101.76,361.9,8.50
Diesel,99.75,190.2,7.01
Petrol,103.57,425.2,8.67
Diesel,94.44,335.7,6.68
Petrol,102.32,495.9,8.55
Diesel,102.03,116.5,7.19
Petrol,101.88,165.5,8.32
Diesel,95.69,100.7,6.69
Petrol,102.46,223.6,8.40
Diesel,100.00,265.6,7.04
Petrol,98.64,418.8,8.13
Diesel,102.70,475.9,7.48
Petrol,98.92,478.9,8.27
Diesel,98.87,355.9,7.12
Petrol,103.07,229.8,8.39
Diesel,91.53,461.9,6.46
Petrol,108.87,327.6,9.04
Diesel,95.28,153.7,6.58
Petrol,97.53,102.0,7.86
Diesel,90.30,194.2,6.24
Petrol,107.58,430.3,9.02
Diesel,98.38,151.5,6.94
Petrol,100.04,317.7,8.13
Diesel,90.01,360.4,6.16
Petrol,103.43,414.7,8.62
Diesel,100.08,460.5,7.26
Petrol,108.46,240.9,8.99
Diesel,102.02,418.1,7.45
Petrol,109.18,424.5,9.22
Diesel,91.25,419.1,6.47
Petrol,107.87,174.7,8.95
Diesel,103.53,422.5,7.59
Petrol,102.21,462.7,8.46
Diesel,93.79,428.2,6.60
Petrol,104.05,467.4,8.78
Diesel,90.84,438.7,6.33
Petrol,107.90,255.8,8.89
Diesel,103.66,152.8,7.45
Petrol,103.17,487.4,8.55
Diesel,97.76,362.7,6.93
Petrol,97.81,179.7,7.95
Diesel,91.62,161.3,6.26
Petrol,101.35,325.6,8.44
Diesel,99.94,210.4,7.16
Petrol,102.74,347.6,8.51
Diesel,90.61,213.4,6.27
Petrol,108.98,452.7,9.27
Diesel,94.41,195.7,6.53
Petrol,107.63,448.9,8.97
Diesel,101.60,281.6,7.33
Petrol,106.97,455.9,8.95
Diesel,102.29,156.5,7.28
Petrol,104.59,283.9,8.70
Diesel,96.35,371.0,6.79
Petrol,101.14,156.1,8.16
Diesel,91.53,297.7,6.34
Petrol,100.92,287.4,8.32
Diesel,92.15,350.9,6.48
Petrol,100.95,425.8,8.45
Diesel,94.74,214.0,6.55
Petrol,101.73,321.5,8.32
Diesel,91.99,470.6,6.47
Petrol,106.42,341.4,8.86
Diesel,102.74,272.1,7.42
Petrol,97.56,289.2,7.90
Diesel,99.54,479.2,7.12
Petrol,100.13,388.5,8.24
Diesel,97.59,290.8,6.99
Petrol,98.14,351.8,8.00
Diesel,96.65,309.9,6.79
Petrol,105.26,210.1,8.61
Diesel,96.78,117.7,6.65
Petrol,98.42,189.8,7.92
Diesel,100.18,246.0,7.18
Petrol,96.49,276.5,7.75
Diesel,102.06,117.0,7.15
Petrol,103.99,368.6,8.71
Diesel,102.06,117.5,7.22
Petrol,108.64,447.1,9.08
Diesel,91.75,495.8,6.44
Petrol,97.73,207.7,7.84
Diesel,92.11,199.6,6.27
Petrol,105.08,350.8,8.73
Diesel,91.12,303.6,6.35
Petrol,108.39,326.9,9.03
Diesel,96.82,302.6,6.75
Petrol,109.26,216.6,9.09
Diesel,91.52,461.6,6.50
Petrol,102.45,420.1,8.47
Diesel,98.56,332.6,6.96
Petrol,96.66,119.2,7.71
Diesel,102.84,341.5,7.34
Petrol,107.37,453.7,8.97
Diesel,102.37,185.0,7.26
Petrol,106.16,296.3,8.75
Diesel,92.00,490.5,6.50
Petrol,98.90,266.3,8.04
Diesel,90.57,171.0,6.21
Petrol,105.94,106.1,8.65
Diesel,93.15,376.2,6.53
Petrol,108.93,115.0,8.90
Diesel,93.53,113.2,6.41
Petrol,102.84,487.2,8.68
Diesel,93.65,370.0,6.60
Petrol,107.81,125.4,8.80
Diesel,92.40,253.2,6.38
Petrol,105.67,227.0,8.78
Diesel,100.57,261.6,7.10
Petrol,107.42,102.6,8.89
Diesel,97.52,182.9,6.84
Petrol,106.23,334.8,8.79
Diesel,100.41,484.1,7.22
Petrol,101.18,289.3,8.30
Diesel,99.82,361.8,7.06
Petrol,103.18,478.6,8.67
Diesel,100.34,179.0,7.02
Petrol,104.66,315.3,8.70
Diesel,103.33,313.7,7.42
Petrol,104.75,167.3,8.62
Diesel,102.32,274.6,7.24
Petrol,104.27,480.6,8.78
Diesel,95.25,312.1,6.62
Petrol,102.00,139.8,8.23
Diesel,102.66,420.8,7.52
Petrol,109.38,495.9,9.28
Diesel,101.42,196.9,7.19
Petrol,101.95,130.7,8.35
